DATE,ATM,Cash
11/6/2009 12:00:00 AM,ATM1,93
11/6/2009 12:00:00 AM,ATM2,116
11/7/2009 12:00:00 AM,ATM1,104
11/7/2009 12:00:00 AM,ATM2,61
11/8/2009 12:00:00 AM,ATM1,109
11/8/2009 12:00:00 AM,ATM2,59
11/9/2009 12:00:00 AM,ATM1,88
11/9/2009 12:00:00 AM,ATM2,80
11/10/2009 12:00:00 AM,ATM1,96
11/10/2009 12:00:00 AM,ATM2,86
11/11/2009 12:00:00 AM,ATM1,70
11/11/2009 12:00:00 AM,ATM2,23
11/12/2009 12:00:00 AM,ATM1,15
11/12/2009 12:00:00 AM,ATM2,7
11/13/2009 12:00:00 AM,ATM1,73
11/13/2009 12:00:00 AM,ATM2,91
11/14/2009 12:00:00 AM,ATM1,94
11/14/2009 12:00:00 AM,ATM2,57
11/15/2009 12:00:00 AM,ATM1,108
11/15/2009 12:00:00 AM,ATM2,58
11/16/2009 12:00:00 AM,ATM1,73
11/16/2009 12:00:00 AM,ATM2,61
11/17/2009 12:00:00 AM,ATM1,87
11/17/2009 12:00:00 AM,ATM2,77
11/18/2009 12:00:00 AM,ATM1,75
11/18/2009 12:00:00 AM,ATM2,20
11/19/2009 12:00:00 AM,ATM1,10
11/19/2009 12:00:00 AM,ATM2,5
11/20/2009 12:00:00 AM,ATM1,92
11/20/2009 12:00:00 AM,ATM2,132
11/21/2009 12:00:00 AM,ATM1,87
11/21/2009 12:00:00 AM,ATM2,49
11/22/2009 12:00:00 AM,ATM1,74
11/22/2009 12:00:00 AM,ATM2,57
11/23/2009 12:00:00 AM,ATM1,73
11/23/2009 12:00:00 AM,ATM2,68
11/24/2009 12:00:00 AM,ATM1,93
11/24/2009 12:00:00 AM,ATM2,80
11/25/2009 12:00:00 AM,ATM1,66
11/25/2009 12:00:00 AM,ATM2,31
11/26/2009 12:00:00 AM,ATM1,18
11/26/2009 12:00:00 AM,ATM2,3
11/27/2009 12:00:00 AM,ATM1,99
11/27/2009 12:00:00 AM,ATM2,85
11/28/2009 12:00:00 AM,ATM1,94
11/28/2009 12:00:00 AM,ATM2,53
11/29/2009 12:00:00 AM,ATM1,136
11/29/2009 12:00:00 AM,ATM2,46
11/30/2009 12:00:00 AM,ATM1,6
11/30/2009 12:00:00 AM,ATM2,2
12/1/2009 12:00:00 AM,ATM1,140
12/1/2009 12:00:00 AM,ATM2,113
12/2/2009 12:00:00 AM,ATM1,73
12/2/2009 12:00:00 AM,ATM2,22
12/3/2009 12:00:00 AM,ATM1,9
12/3/2009 12:00:00 AM,ATM2,5
12/4/2009 12:00:00 AM,ATM1,140
12/4/2009 12:00:00 AM,ATM2,112
12/5/2009 12:00:00 AM,ATM1,103
12/5/2009 12:00:00 AM,ATM2,59
12/6/2009 12:00:00 AM,ATM1,110
12/6/2009 12:00:00 AM,ATM2,72
12/7/2009 12:00:00 AM,ATM1,90
12/7/2009 12:00:00 AM,ATM2,77
12/8/2009 12:00:00 AM,ATM1,135
12/8/2009 12:00:00 AM,ATM2,85
12/9/2009 12:00:00 AM,ATM1,67
12/9/2009 12:00:00 AM,ATM2,27
12/10/2009 12:00:00 AM,ATM1,12
12/10/2009 12:00:00 AM,ATM2,1
12/11/2009 12:00:00 AM,ATM1,109
12/11/2009 12:00:00 AM,ATM2,91
12/12/2009 12:00:00 AM,ATM1,84
12/12/2009 12:00:00 AM,ATM2,36
12/13/2009 12:00:00 AM,ATM1,92
12/13/2009 12:00:00 AM,ATM2,46
12/14/2009 12:00:00 AM,ATM1,84
12/14/2009 12:00:00 AM,ATM2,100
12/15/2009 12:00:00 AM,ATM1,118
12/15/2009 12:00:00 AM,ATM2,73
12/16/2009 12:00:00 AM,ATM1,68
12/16/2009 12:00:00 AM,ATM2,22
12/17/2009 12:00:00 AM,ATM1,14
12/17/2009 12:00:00 AM,ATM2,9
12/18/2009 12:00:00 AM,ATM1,90
12/18/2009 12:00:00 AM,ATM2,117
12/19/2009 12:00:00 AM,ATM1,92
12/19/2009 12:00:00 AM,ATM2,44
12/20/2009 12:00:00 AM,ATM1,93
12/20/2009 12:00:00 AM,ATM2,44
12/21/2009 12:00:00 AM,ATM1,85
12/21/2009 12:00:00 AM,ATM2,78
12/22/2009 12:00:00 AM,ATM1,93
12/22/2009 12:00:00 AM,ATM2,89
12/23/2009 12:00:00 AM,ATM1,70
12/23/2009 12:00:00 AM,ATM2,33
12/24/2009 12:00:00 AM,ATM1,13
12/24/2009 12:00:00 AM,ATM2,5
12/25/2009 12:00:00 AM,ATM1,90
12/25/2009 12:00:00 AM,ATM2,102
12/26/2009 12:00:00 AM,ATM1,91
12/26/2009 12:00:00 AM,ATM2,68
12/27/2009 12:00:00 AM,ATM1,102
12/27/2009 12:00:00 AM,ATM2,64
12/28/2009 12:00:00 AM,ATM1,97
12/28/2009 12:00:00 AM,ATM2,81
12/29/2009 12:00:00 AM,ATM1,42
12/29/2009 12:00:00 AM,ATM2,9
12/30/2009 12:00:00 AM,ATM1,2
12/30/2009 12:00:00 AM,ATM2,2
12/31/2009 12:00:00 AM,ATM1,14
12/31/2009 12:00:00 AM,ATM2,2
1/1/2010 12:00:00 AM,ATM1,132
1/1/2010 12:00:00 AM,ATM2,117
1/2/2010 12:00:00 AM,ATM1,108
1/2/2010 12:00:00 AM,ATM2,56
1/3/2010 12:00:00 AM,ATM1,120
1/3/2010 12:00:00 AM,ATM2,55
1/4/2010 12:00:00 AM,ATM1,120
1/4/2010 12:00:00 AM,ATM2,112
1/5/2010 12:00:00 AM,ATM1,90
1/5/2010 12:00:00 AM,ATM2,100
1/6/2010 12:00:00 AM,ATM1,48
1/6/2010 12:00:00 AM,ATM2,17
1/7/2010 12:00:00 AM,ATM1,15
1/7/2010 12:00:00 AM,ATM2,7
1/8/2010 12:00:00 AM,ATM1,86
1/8/2010 12:00:00 AM,ATM2,49
1/9/2010 12:00:00 AM,ATM1,109
1/9/2010 12:00:00 AM,ATM2,96
1/10/2010 12:00:00 AM,ATM1,115
1/10/2010 12:00:00 AM,ATM2,47
1/11/2010 12:00:00 AM,ATM1,123
1/11/2010 12:00:00 AM,ATM2,107
1/12/2010 12:00:00 AM,ATM1,123
1/12/2010 12:00:00 AM,ATM2,93
1/13/2010 12:00:00 AM,ATM1,60
1/13/2010 12:00:00 AM,ATM2,27
1/14/2010 12:00:00 AM,ATM1,22
1/14/2010 12:00:00 AM,ATM2,9
1/15/2010 12:00:00 AM,ATM1,81
1/15/2010 12:00:00 AM,ATM2,78
1/16/2010 12:00:00 AM,ATM1,98
1/16/2010 12:00:00 AM,ATM2,47
1/17/2010 12:00:00 AM,ATM1,94
1/17/2010 12:00:00 AM,ATM2,31
1/18/2010 12:00:00 AM,ATM1,76
1/18/2010 12:00:00 AM,ATM2,91
1/19/2010 12:00:00 AM,ATM1,96
1/19/2010 12:00:00 AM,ATM2,77
1/20/2010 12:00:00 AM,ATM1,72
1/20/2010 12:00:00 AM,ATM2,22
1/21/2010 12:00:00 AM,ATM1,12
1/21/2010 12:00:00 AM,ATM2,1
1/22/2010 12:00:00 AM,ATM1,91
1/22/2010 12:00:00 AM,ATM2,125
1/23/2010 12:00:00 AM,ATM1,74
1/23/2010 12:00:00 AM,ATM2,53
1/24/2010 12:00:00 AM,ATM1,104
1/24/2010 12:00:00 AM,ATM2,37
1/25/2010 12:00:00 AM,ATM1,74
1/25/2010 12:00:00 AM,ATM2,69
1/26/2010 12:00:00 AM,ATM1,91
1/26/2010 12:00:00 AM,ATM2,69
1/27/2010 12:00:00 AM,ATM1,66
1/27/2010 12:00:00 AM,ATM2,16
1/28/2010 12:00:00 AM,ATM1,28
1/28/2010 12:00:00 AM,ATM2,2
1/29/2010 12:00:00 AM,ATM1,152
1/29/2010 12:00:00 AM,ATM2,95
1/30/2010 12:00:00 AM,ATM1,97
1/30/2010 12:00:00 AM,ATM2,45
1/31/2010 12:00:00 AM,ATM1,100
1/31/2010 12:00:00 AM,ATM2,61
2/1/2010 12:00:00 AM,ATM1,85
2/1/2010 12:00:00 AM,ATM2,71
2/2/2010 12:00:00 AM,ATM1,123
2/2/2010 12:00:00 AM,ATM2,91
2/3/2010 12:00:00 AM,ATM1,46
2/3/2010 12:00:00 AM,ATM2,28
2/4/2010 12:00:00 AM,ATM1,38
2/4/2010 12:00:00 AM,ATM2,9
