,close,high,low,open,time,volumefrom,volumeto,timestamp
1370,6302.13,6304.97,6298.32,6298.4,1530463320,24.94,157284.67,2018-07-01 12:42:00
1371,6299.19,6307.28,6298.91,6302.13,1530463380,22.74,143448.59,2018-07-01 12:43:00
1372,6302.66,6308.4,6294.71,6299.84,1530463440,30.34,191372.78,2018-07-01 12:44:00
1373,6296.95,6307.53,6296.49,6302.66,1530463500,30.59,198471.76,2018-07-01 12:45:00
1374,6300.83,6304.38,6296.6,6296.95,1530463560,18.88,120261.05,2018-07-01 12:46:00
1375,6301.52,6306.85,6298.52,6301.33,1530463620,21.68,139456.39,2018-07-01 12:47:00
1376,6302.01,6308.24,6297.74,6301.52,1530463680,18.32,115787.17,2018-07-01 12:48:00
1377,6300.72,6307.56,6297.73,6302.01,1530463740,11.24,70907.71,2018-07-01 12:49:00
1378,6311.87,6311.87,6296.36,6300.64,1530463800,26.36,166489.23,2018-07-01 12:50:00
1379,6303.85,6313.94,6301.39,6311.87,1530463860,35.96,227293.95,2018-07-01 12:51:00
1380,6313.9,6315.9,6302.95,6302.95,1530463920,20.37,129676.2,2018-07-01 12:52:00
1381,6305.83,6315.52,6305.3,6313.93,1530463980,25.14,158709.2,2018-07-01 12:53:00
1382,6311.07,6315.01,6305.11,6305.47,1530464040,33.32,210696.02,2018-07-01 12:54:00
1383,6307.47,6311.95,6306.36,6311.39,1530464100,27.52,174589.01,2018-07-01 12:55:00
1384,6304.97,6310.93,6304.78,6307.47,1530464160,35.06,221700.82,2018-07-01 12:56:00
1385,6308.52,6311.17,6304.36,6304.97,1530464220,21.26,133986.35,2018-07-01 12:57:00
1386,6313.12,6314.11,6304.78,6308.51,1530464280,12.75,80940.09,2018-07-01 12:58:00
1387,6304.64,6314.33,6304.17,6313.95,1530464340,13.36,85114.74,2018-07-01 12:59:00
1388,6315.46,6315.46,6304.46,6304.64,1530464400,17.04,108095.6,2018-07-01 13:00:00
1389,6308.81,6316.0,6305.1,6315.27,1530464460,17.86,112987.75,2018-07-01 13:01:00
1390,6308.01,6319.31,6307.89,6308.81,1530464520,13.66,86532.36,2018-07-01 13:02:00
1391,6308.8,6315.78,6307.31,6308.01,1530464580,9.81,62434.54,2018-07-01 13:03:00
1392,6308.56,6316.65,6307.92,6308.8,1530464640,11.52,72737.95,2018-07-01 13:04:00
1393,6314.71,6314.71,6307.63,6308.56,1530464700,12.53,79266.5,2018-07-01 13:05:00
1394,6312.87,6317.89,6310.94,6314.71,1530464760,13.02,82343.33,2018-07-01 13:06:00
1395,6316.66,6317.83,6308.71,6312.81,1530464820,17.2,109062.53,2018-07-01 13:07:00
1396,6318.05,6319.25,6308.88,6316.66,1530464880,15.18,96129.64,2018-07-01 13:08:00
1397,6316.42,6318.93,6310.21,6318.08,1530464940,15.51,98114.73,2018-07-01 13:09:00
1398,6311.41,6319.64,6309.77,6316.42,1530465000,17.61,111664.17,2018-07-01 13:10:00
1399,6313.49,6319.46,6311.28,6311.37,1530465060,28.01,177066.11,2018-07-01 13:11:00
1400,6312.79,6317.76,6312.26,6313.49,1530465120,9.86,62490.77,2018-07-01 13:12:00
1401,6312.86,6319.0,6309.29,6312.79,1530465180,25.58,161479.74,2018-07-01 13:13:00
1402,6318.95,6319.04,6308.7,6312.86,1530465240,12.68,80121.11,2018-07-01 13:14:00
1403,6317.65,6319.66,6310.54,6319.03,1530465300,27.07,170952.93,2018-07-01 13:15:00
1404,6317.9,6319.89,6311.22,6317.65,1530465360,12.17,77022.94,2018-07-01 13:16:00
1405,6320.29,6320.59,6312.03,6317.9,1530465420,9.87,62413.68,2018-07-01 13:17:00
1406,6320.19,6320.96,6311.08,6320.21,1530465480,13.98,88514.98,2018-07-01 13:18:00
1407,6315.5,6320.89,6313.74,6320.89,1530465540,11.04,69799.38,2018-07-01 13:19:00
1408,6312.56,6320.33,6310.38,6315.5,1530465600,10.48,66353.15,2018-07-01 13:20:00
1409,6317.26,6319.62,6311.29,6311.59,1530465660,28.32,181365.11,2018-07-01 13:21:00
1410,6315.53,6320.86,6310.68,6317.26,1530465720,28.1,176271.93,2018-07-01 13:22:00
1411,6311.27,6320.22,6310.6,6316.29,1530465780,11.23,71046.07,2018-07-01 13:23:00
1412,6315.85,6320.52,6310.68,6310.68,1530465840,12.2,77472.98,2018-07-01 13:24:00
1413,6315.6,6316.23,6309.32,6315.85,1530465900,15.16,95863.25,2018-07-01 13:25:00
1414,6313.42,6319.11,6311.09,6315.6,1530465960,11.46,72459.24,2018-07-01 13:26:00
1415,6312.26,6320.44,6312.21,6313.39,1530466020,15.35,97139.5,2018-07-01 13:27:00
1416,6315.68,6318.75,6310.64,6312.44,1530466080,21.65,136638.69,2018-07-01 13:28:00
1417,6319.56,6320.72,6312.4,6316.59,1530466140,20.06,127786.58,2018-07-01 13:29:00
1418,6315.86,6320.28,6310.59,6319.56,1530466200,10.76,68747.26,2018-07-01 13:30:00
1419,6316.08,6318.67,6310.86,6316.15,1530466260,13.15,83395.05,2018-07-01 13:31:00
1420,6316.71,6318.18,6311.88,6315.81,1530466320,30.39,193486.48,2018-07-01 13:32:00
1421,6313.57,6321.56,6312.35,6316.71,1530466380,24.36,153987.35,2018-07-01 13:33:00
1422,6319.22,6323.22,6313.34,6313.34,1530466440,18.9,119755.18,2018-07-01 13:34:00
1423,6315.71,6322.89,6315.7,6318.35,1530466500,34.56,218415.47,2018-07-01 13:35:00
1424,6319.42,6322.64,6315.64,6315.7,1530466560,189.53,1199745.11,2018-07-01 13:36:00
1425,6322.88,6326.12,6317.73,6319.91,1530466620,16.76,106213.42,2018-07-01 13:37:00
1426,6330.49,6330.49,6320.25,6322.74,1530466680,35.1,222785.73,2018-07-01 13:38:00
1427,6323.7,6330.49,6320.73,6330.49,1530466740,18.54,117724.42,2018-07-01 13:39:00
1428,6324.61,6328.53,6322.34,6323.7,1530466800,8.07,51227.09,2018-07-01 13:40:00
1429,6325.14,6325.24,6319.4,6324.61,1530466860,28.44,183745.72,2018-07-01 13:41:00
1430,6327.44,6327.63,6321.88,6325.14,1530466920,14.89,94166.05,2018-07-01 13:42:00
1431,6324.75,6327.72,6319.34,6327.55,1530466980,14.49,91736.81,2018-07-01 13:43:00
1432,6326.71,6327.54,6320.58,6325.46,1530467040,11.59,73437.64,2018-07-01 13:44:00
1433,6324.62,6327.71,6321.9,6326.71,1530467100,20.14,127476.37,2018-07-01 13:45:00
1434,6326.8,6326.8,6319.13,6324.62,1530467160,11.67,73986.18,2018-07-01 13:46:00
1435,6327.39,6327.48,6320.85,6324.96,1530467220,13.14,83085.2,2018-07-01 13:47:00
1436,6328.07,6329.22,6323.08,6326.68,1530467280,16.69,105654.05,2018-07-01 13:48:00
1437,6323.61,6328.65,6321.25,6328.07,1530467340,21.47,136159.09,2018-07-01 13:49:00
1438,6322.08,6329.71,6320.45,6323.61,1530467400,18.94,120302.67,2018-07-01 13:50:00
1439,6323.2,6327.97,6319.78,6321.02,1530467460,31.15,198285.05,2018-07-01 13:51:00
1440,6323.47,6324.41,6317.88,6323.0,1530467520,15.15,95963.27,2018-07-01 13:52:00
1441,6320.4,6324.97,6319.82,6323.47,1530467580,20.49,129810.24,2018-07-01 13:53:00
1442,6324.83,6326.93,6319.77,6320.3,1530467640,15.81,100069.47,2018-07-01 13:54:00
